CONTRACT_ID,UPC,DESCRIPTION,CITY_COUNTY,MANAGER_EMAIL,CONSTRUCTION_COMPANY,ON_TIME_STATUS,ON_BUDGET_STATUS,CONTRACT_AWARD_AMOUNT,COST_OF_WORK_TO_DATE,ORIGINAL_SPECIFIED_COMPLETION_DATE
6000068089C01B,68089,"SIDEWALK, CURB AND GUTTER ADDITIONS",Alleghany County,,"HAMMOND - MITCHELL, INC.",G,G,1998352,2016334,2019-08-03
60000112547N01,112547,SIDEWALK AND CROSSWALK IMPROVEMENTS,,,"M & F CONCRETE, INC.",G,G,301300,298743,2020-07-10
60000114899C01,114899,BRIDGE APPROACH REPAIR,,,"KICKIN ASPHALT PAVING AND EXCAVATING,LLC",G,G,538167,536037,2020-06-05
6M819PMG113673,113673,2019 PLANT MIX,,,"PAVCON GROUP, INC.",G,G,1234084,1164350,2019-12-06
6M820PMS115323,115323,2020 PLANT MIX,,"""Stephan.Ball@VDOT.Virginia.gov""","PAVCON GROUP, INC.",G,G,1131841,1270402,2020-11-20
6PM8X800112398,112398,2018 PLANT MIX,,,"PAVCON GROUP, INC.",G,G,902422,776056,2018-12-07
6PM8Y800111866,111866,2018 PLANT MIX,,"""Robert.Good@VDOT.Virginia.gov""","PAVCON GROUP, INC.",R,G,1511094,1443902,2018-12-07
6000111049M501,111049,SMART SCALE - WAYNESBORO TOWNE CENTER PARK & RIDE,,,PLECKER CONSTRUCTION COMPANY,G,G,1020025,28700,2022-05-01
6M821PMH117913,117913,2021 PLANT MIX,,,"KICKIN ASPHALT PAVING AND EXCAVATING,LLC",G,G,2433357,0,2021-11-15
6PM8Z800110638,110638,2018 PLANT MIX,,"""Robert.Good@VDOT.Virginia.gov""","STUART M. PERRY, INCORPORATED",G,G,301173,267435,2018-12-07
70000110829N01,110829,HIGH FRICTION SURFACE TREATMENT,,"""Robert.Good@VDOT.Virginia.gov""","TITAN INDUSTRIAL SERVICES, INC.",G,G,610680,653393,2018-10-15
70000116039M01,116039,INSTALL DYNAMIC MESSAGE SIGNS ALONG INTERSTATE CORRIDOR,,"""Keith.Rider@VDOT.Virginia.gov""",RICHARDSON-WAYLAND ELECTRICAL CO. LLC,G,G,6999464,1831622,2021-10-28
7LM8A800112399,112399,2018 LATEX MODIFIED,,"""Robert.Good@VDOT.Virginia.gov""","SLURRY PAVERS, INC.",R,G,4046239,3575506,2018-10-26
70000109367N01,109367,CONSTRUCTION OF LEFT TURN LANE,,,"W-L CONSTRUCTION & PAVING, INC.",G,G,136174,92620,2019-09-30
70000113689N01,113689,PEDESTRIAN & ROADWAY IMPROVEMENTS,,"""Jamie.Robertson@vdot.virginia.gov""","VIRGINIA INFRASTRUCTURE, INC.",G,G,109134,120282,2020-07-31
70000117574N01,117574,BRIDGE PAINTING,,,"SAFFO CONTRACTORS, INC.",G,G,1599000,0,2021-11-30
7M819LMB113678,113809,2019 LATEX MODIFIED,,,"SLURRY PAVERS, INC.",G,G,2499942,2213334,2019-11-22
7M819PMI113669,113669,2019 PLANT MIX,,,"W-L CONSTRUCTION & PAVING, INC.",G,G,445305,374099,2019-12-06
7M819PMM113679,113679,2019 PLANT MIX,,,"W-L CONSTRUCTION & PAVING, INC.",G,G,3589211,3307639,2019-12-06
7M819PMS114107,114107,2019 PLANT MIX,,,"S. L. WILLIAMSON COMPANY, INCORPORATED",G,G,1705387,1609363,2019-12-06
7M819LMC113672,113672,2019 LATEX MODIFIED,,,"SLURRY PAVERS, INC.",G,G,1853156,1699775,2019-11-22
7M819PMJ113668,113668,2019 PLANT MIX,,,"W-L CONSTRUCTION & PAVING, INC.",G,G,1139461,1000533,2019-12-06
7M819STB113665,113665,2019 SURFACE TREATMENT,,,RUSSELL STANDARD CORPORATION,G,G,718950,697534,2019-10-25
7M820LMA116002,116002,2020 LATEX MODIFIED,,"""Jamie.Robertson@vdot.virginia.gov""","SLURRY PAVERS, INC.",G,G,990993,1027179,2020-10-23
7M820LMB115329,115330,2020 LATEX MODIFIED,,,"SLURRY PAVERS, INC.",G,G,1141645,1318516,2020-10-23
7M820PME115318,115318,2020 PLANT MIX,,,"S. L. WILLIAMSON COMPANY, INCORPORATED",G,G,1448962,1320519,2020-11-20
7M819SSB113662,113662,2019 SLURRY SEAL,,,"SLURRY PAVERS, INC.",G,G,706313,707662,2019-11-22
7M819STC113664,113664,2019 SURFACE TREATMENT,,,"WHITEHURST PAVING COMPANY, INCORPORATED",G,G,1072413,1000518,2019-10-25
7M820PM0116429,116429,2020 INTERSTATE PATCHING CONTRACT,,"""Jamie.Robertson@vdot.virginia.gov""","WEATHERMAN-COLLINS CONTRACTING, L.L.C.",G,G,456792,466533,2020-11-20
7M820PMR115321,115321,2020 PLANT MIX,,,SUPERIOR PAVING CORPORATION,G,G,1867122,2011872,2020-11-20
7M820STB115331,115331,2020 SURFACE TREATMENT,,"""Jamie.Robertson@vdot.virginia.gov""","WHITEHURST PAVING COMPANY, INCORPORATED",G,G,1165516,1266859,2020-10-16
7M821LMA117900,117900,2021 LATEX MODIFIED,,,"SLURRY PAVERS, INC.",G,G,1799897,0,2021-10-15
7M821LMB117902,117902,2021 LATEX MODIFIED,,,"SLURRY PAVERS, INC.",G,G,2651061,0,2021-10-15
7M820PMP115336,115336,2020 PLANT MIX,,,"W-L CONSTRUCTION & PAVING, INC.",G,G,1669011,1709608,2020-08-21
7M820SSA115333,115333,2020 CAPE AND SLURRY SEAL,,"""Jamie.Robertson@vdot.virginia.gov""","SLURRY PAVERS, INC.",G,G,1886070,2135898,2020-10-23
7M820STC115332,115332,2020 SURFACE TREATMENT,,,RUSSELL STANDARD CORPORATION,G,G,737977,712377,2020-10-16
7M821STB117692,117692,2021 SURFACE TREATMENT,,,RUSSELL STANDARD CORPORATION,G,G,1186270,0,2021-10-15
7PM8O800111872,111872,2018 PLANT MIX,,"""Robert.Good@VDOT.Virginia.gov""","W-L CONSTRUCTION & PAVING, INC.",G,G,1450720,1316239,2018-12-07
7SS8B800112404,112405,2018 SLURRY SEAL,,,"SLURRY PAVERS, INC.",G,G,818157,816220,2018-10-26
7ST8A800112402,112403,2018 SURFACE TREATMENT,,"""Robert.Good@VDOT.Virginia.gov""",RUSSELL STANDARD CORPORATION,G,G,865922,830382,2018-10-26
7M821STC117693,117693,2021 SURFACE TREATMENT,,,RUSSELL STANDARD CORPORATION,G,G,1090185,0,2021-10-15
A0000100702C02,100702,#HB2.FY17 MOD I95SB OFF RAMP AT SR784 DALE BLVD; ADD SIGNALS,,"""Mehrdad.Naderi@vdot.virginia.gov""","ARTHUR CONSTRUCTION CO., INC.",G,G,899339,814921,2017-08-15
A0000105898B97,105898,SGR - BRIDGE REHAB OVER CATOCTIN CREEK,,,CORMAN KOKOSING CONSTRUCTION COMPANY,G,G,3029525,740024,2021-11-29
A0000110330C01,110330,ROAD WIDENING - PH I,,"""Chan.Basnayake@vdot.virginia.gov""","ARTHUR CONSTRUCTION CO., INC.",G,G,634937,616048,2018-11-30
A0000111685B40,111685,SGR - BRIDGE REHAB OVER LEESBURG PIKE,,,FORT MYER CONSTRUCTION CORPORATION,G,G,1978758,1632496,2020-12-01
7ST8C800110682,110682,2018 SURFACE TREATMENT,,"""Robert.Good@VDOT.Virginia.gov""",RUSSELL STANDARD CORPORATION,G,G,2497835,2296484,2018-10-26
A0000103907C01,103907,CONSTRUCT JONES BRANCH CONNECTOR OVER I-495,,"""Chan.Basnayake@vdot.virginia.gov""","ARCHER WESTERN CONSTRUCTION, LLC",R,G,39693825,41840694,2019-11-19
A0000108447N01,108447,ROADWAY DEPARTURE CRASH MITIGATION,,,"CES CONSULTING, LLC",G,G,389211,366357,2018-09-12
A0000110654B48,110654,SGR - BRIDGE REPAIRS OVER I-495 & SCOTTS RUN,,"""Chan.Basnayake@vdot.virginia.gov""",FORT MYER CONSTRUCTION CORPORATION,G,G,1106126,1087847,2018-10-23
A0000111691B23,111691,SGR - BRIDGE SUPERSTR REPLACEMENT / SUBSTR REHABILITATION,,,"ARCHER WESTERN CONSTRUCTION, LLC",G,G,4869796,0,2021-11-25
A0000112184N01,112184,2018 PLANT MIX,,"""Ebbie.Attar@vdot.virginia.gov""","JULIUS BRANSCOME, INC.",G,G,6640759,6231683,2018-12-07
A0000112195N01,112195,2018 PLANT MIX,,,"ARTHUR CONSTRUCTION CO., INC.",G,G,5714040,5374964,2018-12-07
A0000112198N01,112198,2018 PLANT MIX,,,"FRANCIS O. DAY CO., INC.",G,G,4038876,4829118,2018-12-07
A0000112183N01,112183,2018 PLANT MIX,,"""Mehrdad.Naderi@vdot.virginia.gov""","JULIUS BRANSCOME, INC.",G,G,4454370,4166971,2018-12-07
A0000112185N01,112185,2018 PLANT MIX,,"""Ebbie.Attar@vdot.virginia.gov""","JULIUS BRANSCOME, INC.",G,G,4893598,4658832,2018-12-07
A0000112196N01,112196,2018 PLANT MIX,,,"ARTHUR CONSTRUCTION CO., INC.",G,G,8113828,7266686,2018-12-07
A0000114230N01,114230,2019 PLANT MIX,,,EUROVIA ATLANTIC COAST DBA VIRGINIA PAVI,G,G,4394077,4189324,2019-12-06
A0000114239N01,114239,2019 PLANT MIX,,,"FRANCIS O. DAY CO., INC.",G,G,3448324,3489387,2019-12-06
A0000115028N01,115028,2020 PLANT MIX,,"""Ebbie.Attar@vdot.virginia.gov""","ALLAN MYERS VA, INC.",G,G,4777777,5260853,2020-11-20
A0000115670B01,115670,APPROACH SLAB REPLACEMENT,,,"FRANCO'S LIBERTY BRIDGE, INC.",R,G,552885,597898,2020-08-31
A0000114229N01,114229,2019 PLANT MIX,,"""Ebbie.Attar@vdot.virginia.gov""","ARTHUR CONSTRUCTION CO., INC.",G,G,5141555,5199268,2019-12-06
A0000114232N01,114232,2019 PLANT MIX,,"""Chan.Basnayake@vdot.virginia.gov""","ARTHUR CONSTRUCTION CO., INC.",G,G,4131467,3994781,2019-12-06
A0000114240N01,114240,2019 PLANT MIX,,,EUROVIA ATLANTIC COAST DBA VIRGINIA PAVI,G,G,4468190,4430071,2019-12-06
A0000115029N01,115029,2020 PLANT MIX,,"""Ebbie.Attar@vdot.virginia.gov""",EUROVIA ATLANTIC COAST DBA VIRGINIA PAVI,G,G,3649961,3767797,2020-11-20
A0000115931N01,115931,2020 PLANT MIX,,,EUROVIA ATLANTIC COAST DBA VIRGINIA PAVI,G,G,3092038,3096864,2020-11-20
A0000116048N01,116048,PAVEMENT RECLAMATION AND RESURFACING,,,"ARTHUR CONSTRUCTION CO., INC.",G,G,4993442,5477070,2020-11-20
A0000116052N01,116052,2020 PLANT MIX,,,EUROVIA ATLANTIC COAST DBA VIRGINIA PAVI,G,G,4090776,4407957,2020-11-20
A0000116081N01,116081,ON-CALL ITS & TRAFFIC SIGNALIZATION,,,"B & B SIGNAL CO., L.L.C.",G,R,3369627,3049043,2021-12-30
A0000115929N01,115929,2020 PLANT MIX,,,"ALLAN MYERS VA, INC.",G,G,2588777,2547616,2020-11-20
A0000116047N01,116047,PAVEMENT RECLAMATION AND RESURFACING,,,"ARTHUR CONSTRUCTION CO., INC.",G,G,2770170,3235889,2020-11-20
A0000116050N01,116050,2020 PLANT MIX,,"""Chan.Basnayake@vdot.virginia.gov""",EUROVIA ATLANTIC COAST DBA VIRGINIA PAVI,G,G,4612674,5300637,2020-11-20
A0000116054N01,116054,2020 PLANT MIX,,"""Chan.Basnayake@vdot.virginia.gov""",EUROVIA ATLANTIC COAST DBA VIRGINIA PAVI,G,G,3151067,3385656,2020-11-20
A0000116756S01,116756,REPAIR CROSSWALKS ON US 50 IN MIDDLEBURG,,,A & M CONCRETE CORP.,G,G,479775,502272,2020-09-21
A0000117811N01,117811,2021 PLANT MIX,,,"ALLAN MYERS VA, INC.",G,G,4333777,0,2021-11-15
A000109813C01B,109813,ROSSLYN CIRCLE IMPROVEMENTS,,,"ARDENT COMPANY, LLC",G,G,7067600,7023742,2020-05-13
AM918PMI112175,112175,2018 PLANT MIX,,"""Ebbie.Attar@vdot.virginia.gov""",FORT MYER CONSTRUCTION CORPORATION,R,G,9865814,9576346,2019-09-30
A0000116082N01,116082,ON-CALL TRAFFIC SIGNAL MAINTENANCE,,,"B & B SIGNAL CO., L.L.C.",R,R,3063349,4729350,2021-12-30
A0000116807N01,116807,2020 PLANT MIX,,"""Ebbie.Attar@vdot.virginia.gov""","FRANCIS O. DAY CO., INC.",G,G,3562562,3822964,2020-11-20
A0000118098N01,118098,2021 PLANT MIX,,,EUROVIA ATLANTIC COAST DBA VIRGINIA PAVI,G,G,6072336,0,2021-11-15
A000116017N01B,116017,2020 PLANT MIX,,"""Ebbie.Attar@vdot.virginia.gov""","ALLAN MYERS VA, INC.",G,G,3499777,3286919,2020-11-20
AM919PMD114231,114231,2019 PLANT MIX,,,EUROVIA ATLANTIC COAST DBA VIRGINIA PAVI,G,G,3540775,3697295,2019-12-06
AM919PMI114235,114235,2019 PLANT MIX,,"""Ebbie.Attar@vdot.virginia.gov""",EUROVIA ATLANTIC COAST DBA VIRGINIA PAVI,G,G,5706087,6115215,2019-12-06
AM919PMZ114236,114236,2019 PLANT MIX,,"""Chan.Basnayake@vdot.virginia.gov""","FRANCIS O. DAY CO., INC.",G,G,6133812,6534959,2019-12-06
AM920PMW116056,116056,2020 PLANT MIX,,"""Ebbie.Attar@vdot.virginia.gov""",EUROVIA ATLANTIC COAST DBA VIRGINIA PAVI,G,G,3179277,3160581,2020-11-20
AM919PMA114234,114234,2019 PLANT MIX,,"""Ebbie.Attar@vdot.virginia.gov""","FRANCIS O. DAY CO., INC.",G,G,1316977,1270417,2019-12-06
AM919PMF114233,114233,2019 PLANT MIX,,,EUROVIA ATLANTIC COAST DBA VIRGINIA PAVI,G,G,4398243,4103627,2019-12-06
AM919PML114216,114216,2019 PLANT MIX,,,"FRANCIS O. DAY CO., INC.",G,G,2520109,2709112,2019-12-06
AM920PMV116055,116055,2020 PLANT MIX,,,EUROVIA ATLANTIC COAST DBA VIRGINIA PAVI,G,G,4269701,4400803,2020-11-20
B0000106362M01,106362,INSTALL CONC BARRIER ON RTE. 289E BRIDGE OVER ACCOTINK CREEK,,"""Mehrdad.Naderi@vdot.virginia.gov""","MID-ATLANTIC INFRASTRUCTURE, LLC",G,G,661495,653871,2018-10-23
B0000111320B47,111320,SGR-SUPERSTRUCTURE REPLACEMENT OVER ARLINGTON BLVD,,"""Chan.Basnayake@vdot.virginia.gov""",MARTINS CONSTRUCTION CORP.,G,G,1849448,1830254,2019-12-05
B0000111688B69,111688,SGR BRIDGE REHABILITATION,,,"M. D. MILLER CO., INC.",G,G,1014637,76550,2021-08-10
B0000112187N01,112187,2018 PLANT MIX,,"""Ebbie.Attar@vdot.virginia.gov""","STUART M. PERRY, INCORPORATED",G,G,5754608,5110325,2018-12-07
B0000104406B11,104406,SGR Major Bridge Rehab over I-395,,,MARTINS CONSTRUCTION CORP.,G,G,8562095,3633648,2021-09-01
B0000109272C01,109272,EVERGREEN MILLS RD INT. IMPROVEMENTS AT RELOCATED RTE 771,,,"MILANI CONSTRUCTION, LLC",G,G,1547968,1234108,2020-06-01
B0000111832N01,111832,ROADWAY DEPARTURE CRASH MITIGATION,,"""Mehrdad.Naderi@vdot.virginia.gov""","PAYNES PARKING DESIGNS, INC.",G,G,295321,243628,2019-08-19
B0000114219N01,114219,2019 PLANT MIX,,"""Ebbie.Attar@vdot.virginia.gov""","JULIUS BRANSCOME, INC.",G,G,4616209,4727580,2019-12-06
B0000115932N01,115932,2020 PLANT MIX,,,"JULIUS BRANSCOME, INC.",G,G,2727710,3077509,2020-11-20
B0000116053N01,116053,2020 PLANT MIX,,,"JULIUS BRANSCOME, INC.",G,G,3199401,3296866,2020-11-20
B0000117830N01,117830,2021 PLANT MIX,,,"JULIUS BRANSCOME, INC.",G,G,4297119,662011,2021-11-15
B0000112505N01,112505,ON-CALL BRIDGE REPAIR AND MAINTENANCE,Arlington County,,MARTINS CONSTRUCTION CORP.,G,G,4180380,691059,2021-12-17
B0000115930N01,115930,2020 PLANT MIX,,,"JULIUS BRANSCOME, INC.",G,G,3978516,4490342,2020-11-20
B0000115935N01,115935,2020 PLANT MIX,,,"JULIUS BRANSCOME, INC.",G,G,2899406,2836834,2020-11-20
B0000116195C01,116195,EMERGENCY REPAIR: KIRBY ROAD & BRIDGE WASHOUT,,,MARTINS CONSTRUCTION CORP.,G,G,2081119,2055127,2020-05-15
B000099478DB98,99478,RT 7-CORRIDOR IMPROVEMENTS DESIGN BUILD,,"""MD.Rahman@VDOT.Virginia.gov""","SHIRLEY CONTRACTING COMPANY, LLC",G,G,252871777,105297925,2024-07-31
B000108315DB90,108315,I-95 SOUTHERN EXTENSION EXPRESS LN DESIGN BUILD,,"""Trudee.Hunter@VDOT.Virginia.gov""","BRANCH CIVIL, INC.",G,R,31085000,35923674,2018-08-22
B000108424DB92,110629,I-66 EASTBOUND WIDENING INSIDE THE BELTWAY,,"""Mark.Gibney@VDOT.Virginia.gov""",THE LANE CONSTRUCTION CORPORATION,R,G,85655002,86711168,2021-10-01
BM919PMJ114238,114238,2019 PLANT MIX,,,"JULIUS BRANSCOME, INC.",G,G,4020021,4365020,2019-12-06
B0000118024B01,118024,BRIDGE CRASHWALL,,,"MILANI CONSTRUCTION, LLC",G,G,994519,103200,2021-11-05
B000109486DB99,109486,PARK & RIDE LOT AT I-66/ROUTE 15 INTERCHANGE (DESIGN BUILD),,"""Mark.Gibney@VDOT.Virginia.gov""","TAVARES CONCRETE CO., INC.",G,G,5083401,4350802,2019-03-26
C0000108556N01,109317,#HB2.FY17 RTE 6 - INSTALL SIGNAL,Goochland County,Robert.Alexander@VDOT.Virginia.gov,Elite Contracting Group,G,G,241288,222304,2018-11-23
C0000109814C01,109814,ADD LEFT TURN LANE,,,"TAVARES CONCRETE CO., INC.",G,G,2793042,363175,2021-11-19
C0000111675N01,111675,SGR - 2018 PLANT MIX,,,"VIRGINIA PAVING CO., DIV. OF THE LANE CO",G,G,1025341,905392,2018-12-07
C0000111781B85,111781,SGR - BRIDGE REHABILITATION,,,TECHNOPREF INDUSTRIES INC.,R,G,3907301,3912359,2019-06-17
C0000105597M01,105597,RTE 234 - DUMFRIES ROAD - PEDESTRIAN IMPROVEMENTS,,,SAGRES CONSTRUCTION CORPORATION,G,G,297711,276216,2018-07-31
C0000109473M01,109473,BELMONT RIDGE ROAD INTERIM WIDENING,,,"SHIRLEY CONTRACTING COMPANY, LLC",G,G,4320737,4375798,2020-09-30
C0000110156B42,110156,BACKLICK ROAD BRIDGE OVER CSX RAILROAD,,"""Mehrdad.Naderi@vdot.virginia.gov""","SHIRLEY CONTRACTING COMPANY, LLC",G,R,5557300,6325049,2019-04-15
C0000111678B43,111678,SGR - SUPERSTRUCTURE REPLACEMENT AND REHAB,,,"SHIRLEY CONTRACTING COMPANY, LLC",G,Y,2378670,2450785,2021-04-15
C0000112088N01,112088,2018 LATEX MODIFIED,,"""Ebbie.Attar@vdot.virginia.gov""","SLURRY PAVERS, INC.",G,G,3213956,3013445,2018-10-26
C0000112114N01,112114,2018 SLURRY SEAL,,"""Ebbie.Attar@vdot.virginia.gov""","SLURRY PAVERS, INC.",G,G,1681539,1667255,2018-10-26
C0000112145N01,112145,2018 PLANT MIX,,"""Ebbie.Attar@vdot.virginia.gov""",SUPERIOR PAVING CORPORATION,R,G,4320587,4372531,2018-12-07
C0000112186N01,112186,2018 PLANT MIX,,"""Ebbie.Attar@vdot.virginia.gov""",SUPERIOR PAVING CORPORATION,G,G,6318543,5923398,2018-12-07
C0000112087N01,112087,2018 SLURRY SEAL,,"""Ebbie.Attar@vdot.virginia.gov""","SLURRY PAVERS, INC.",G,G,1208987,1220795,2018-10-26
C0000112090N01,112090,2018 LATEX MODIFIED,,"""Ebbie.Attar@vdot.virginia.gov""","SLURRY PAVERS, INC.",G,G,2597992,2558773,2018-10-26
C0000112144N01,112144,2018 PLANT MIX,,"""Ebbie.Attar@vdot.virginia.gov""","VIRGINIA PAVING CO., DIV. OF THE LANE CO",G,G,3837189,3381630,2018-12-07
C0000112169N01,112169,2018 PLANT MIX,,,SUPERIOR PAVING CORPORATION,G,G,4483459,4141808,2018-12-07
C0000112190N01,112190,2018 PLANT MIX,,,"VIRGINIA PAVING CO., DIV. OF THE LANE CO",G,G,645173,806571,2018-12-07
C0000112194N01,112194,2018 PLANT MIX,,,"VIRGINIA PAVING CO., DIV. OF THE LANE CO",G,G,2123845,1987091,2018-12-07
C0000112199N01,112199,2018 PLANT MIX,,"""Mehrdad.Naderi@vdot.virginia.gov""","VIRGINIA PAVING CO., DIV. OF THE LANE CO",G,G,6489756,5485350,2018-12-07
C0000112381N01,112381,2018 PLANT MIX,,,SUPERIOR PAVING CORPORATION,G,G,4278483,3891490,2018-12-07
C0000112188N01,112188,2018 PLANT MIX,,"""Ebbie.Attar@vdot.virginia.gov""","VIRGINIA PAVING CO., DIV. OF THE LANE CO",G,G,5684150,5451114,2018-12-07
C0000112193N01,112193,2018 PLANT MIX,,,"VIRGINIA PAVING CO., DIV. OF THE LANE CO",G,G,4641917,4954522,2018-12-07
C0000112197N01,112197,2018 PLANT MIX,,,"VIRGINIA PAVING CO., DIV. OF THE LANE CO",G,G,7298698,6678330,2018-12-07
C0000112380N01,112380,2018 LATEX MODIFIED,,,"SLURRY PAVERS, INC.",G,G,2118306,2094106,2018-10-26
C0000114213N01,114213,EMBANKMENT/SLOPE FAILURE FIELD ADJACENT OLD TELEGRAPH ROAD,,"""Mehrdad.Naderi@vdot.virginia.gov""",THE LANE CONSTRUCTION CORPORATION,R,R,743575,1320941,2018-12-31
C0000114215N01,114215,2019 SLURRY MIX,,,"SLURRY PAVERS, INC.",G,G,1738298,1675046,2019-11-22
C0000114218N01,114218,2019 PLANT MIX,,"""Ebbie.Attar@vdot.virginia.gov""",SUPERIOR PAVING CORPORATION,G,G,4146285,4847140,2019-12-06
C0000114222N01,114222,2019 PLANT MIX,,,SUPERIOR PAVING CORPORATION,G,G,5418612,5853338,2019-12-06
C0000112382N01,112382,2018 PLANT MIX,,"""Mehrdad.Naderi@vdot.virginia.gov""",SUPERIOR PAVING CORPORATION,G,G,1521163,1473976,2018-12-07
C0000114214N01,114214,2019 SLURRY MIX,,,"SLURRY PAVERS, INC.",G,G,1247096,1181291,2019-11-22
C0000114217N01,114217,2019 PLANT MIX,,,SUPERIOR PAVING CORPORATION,G,G,5678592,5813160,2019-12-06
C0000114220N01,114220,2019 PLANT MIX,,,"STUART M. PERRY, INCORPORATED",G,R,4023522,5116221,2019-12-06
C0000115925N01,115925,2020 LATEX MODIFIED,,,"SLURRY PAVERS, INC.",G,G,1225124,1219745,2020-10-23
C0000115933N01,115933,2020 PLANT MIX,,,"STUART M. PERRY, INCORPORATED",G,G,3201039,3230634,2020-11-20
C0000116051N01,116051,2020 PLANT MIX,,,SUPERIOR PAVING CORPORATION,G,G,3932382,4370417,2020-11-20
C0000117783N01,117783,2021 LATEX MODIFIED,,,"SLURRY PAVERS, INC.",G,G,425099,0,2021-10-15
C0000114227N01,114227,2019 SLURRY MIX,,,"SLURRY PAVERS, INC.",G,G,1175263,1243356,2019-11-22
C0000115928N01,115928,2020 PLANT MIX,,,SUPERIOR PAVING CORPORATION,G,G,3112051,3069123,2020-11-20
C0000116044N01,116044,2020 LATEX MODIFIED,,"""Chan.Basnayake@vdot.virginia.gov""","SLURRY PAVERS, INC.",G,G,2026956,1950185,2020-10-23
C0000117782N01,117782,2021 LATEX MODIFIED,,,"SLURRY PAVERS, INC.",G,G,722641,40699,2021-10-22
C0000117810N01,117810,2021 LATEX MODIFIED,,,"SLURRY PAVERS, INC.",G,G,1693109,61613,2021-10-15
C0000117985B70,117985,BRIDGE REPLACEMENT - JOPLIN OVER SOUTH FORK OF QUANTICO CR,,,THE LANE CONSTRUCTION CORPORATION,G,G,932000,762118,2021-05-15
C000115934N501,115934,2020 PLANT MIX,,,SUPERIOR PAVING CORPORATION,G,G,2291976,2561794,2020-11-20
CM919LMA114228,114228,2019 LATEX MODIFIED,,,"SLURRY PAVERS, INC.",G,G,2055817,2294520,2019-11-22
C0000117809N01,117809,2021 LATEX MODIFIED,,,"SLURRY PAVERS, INC.",G,G,1966922,0,2021-10-15
C0000117812N01,117812,2021 PLANT MIX,,,SUPERIOR PAVING CORPORATION,G,G,4351440,0,2021-11-15
C000115030N501,115030,2020 PLANT MIX,,,SUPERIOR PAVING CORPORATION,G,G,4001976,4728380,2020-11-20
C00106573DB101,106573,ROUTE 7 INTERCHANGE AT BATTLEFIELD PARKWAY,,,"WAGMAN HEAVY CIVIL, INC.",G,G,59603832,45524150,2021-11-30
CM919LMC114223,114223,2019 LATEX MODIFIED,,,"SLURRY PAVERS, INC.",G,G,1063218,1010454,2019-11-22
CM920LMA116045,116045,2020 LATEX MODIFIED,,,"SLURRY PAVERS, INC.",G,G,2327613,2006560,2020-10-23
CM920SSB116043,116043,2020 SLURRY SEAL,,,"SLURRY PAVERS, INC.",G,G,1070908,1059792,2020-10-23
D0000086294B42,86294,SUPERSTRUCTURE REPLACEMENT OVER INDIAN CREEK,Washington County,"""Todd.Bolling@vdot.virginia.gov""","ESTES BROS. CONST., INC.",G,G,495631,466756,2019-11-19
CM919LMB114226,114226,2019 LATEX MODIFIED,,,"SLURRY PAVERS, INC.",G,G,2458723,2486032,2019-11-22
CM919PMH114237,114237,2019 PLANT MIX,,,SUPERIOR PAVING CORPORATION,G,G,3867956,3976148,2019-12-06
CM920SSA115924,115924,2020 SLURRY SEAL,,,"SLURRY PAVERS, INC.",G,G,2037488,2070187,2020-10-23
D0000058273M01,58273,RURAL RUSTIC ROAD WIDENING,,"""Todd.Bolling@vdot.virginia.gov""","BORING CONTRACTORS, INC.",G,G,825103,737499,2020-04-18
D0000086726M01,86726,RTE 649 - SPOT WIDEN CURVES,Dickenson County,"""James.Parsons@VDOT.Virginia.gov""","ESTES BROS. CONST., INC.",G,G,1090819,1036443,2018-08-08
D0000104831C01,104831,BRIDGE REPLACEMENT OVER FIFTEEN MILE CREEK,Bland County,,"BORING CONTRACTORS, INC.",G,G,1584982,1529292,2019-06-13
D0000108145M01,108145,"AZURE LANE-GRADE, DRAIN SURFACE TREAT- PHASE II",,,CLECO CORPORATION,G,G,727821,668082,2019-09-25
D0000109440C01,109440,SMART SCALE EXIT 19 RAMP IMPROVEMENTS,Stony Creek,"""Brian.Plummer@vdot.virginia.gov""","BORING CONTRACTORS, INC.",G,G,3697497,1152076,2022-05-12
D0000086601B61,86601,BRIDGE REPLACEMENT OVER POWELL RIVER,,"""Todd.Bolling@vdot.virginia.gov""","ELK KNOB, INC.",G,G,5643350,3948615,2021-11-03
D0000104826B51,104826,SGR - SUPERSTRUCTURE REPLACEMENT OVER LITTLE TOMS CREEK,,"""James.Parsons@VDOT.Virginia.gov""","ESTES BROS. CONST., INC.",G,G,291177,281699,2019-04-12
D0000108012C01,108012,ROUTE 744 EXTENSION,,,"BIZZACK CONSTRUCTION, LLC",G,G,2835840,2808502,2019-08-05
D0000109436C01,109436,SMART Scale - ADD LEFT TURN LANE ALONG LEATHERWOOD LANE,,,"ELK KNOB, INC.",G,G,307577,231574,2018-05-08
D0000110012B62,110012,SGR - BRIDGE REPLACEMENT OVER HOLSTON RIVER,,"""Becky.Bane2@VDOT.Virginia.gov""",CROSSROADS BRIDGE INC.,G,G,778265,763160,2020-06-18
D0000110951B52,110951,BRIDGE REPLACEMENT OVER BIG WILSON CREEK,,"""Becky.Bane2@VDOT.Virginia.gov""","ELK KNOB, INC.",G,G,589227,616607,2020-09-29
D0000111272C01,111272,SMART SCALE -TRUCK CLIMBING LANE PHASE 2,,"""Todd.Bolling@vdot.virginia.gov""","ESTES BROS. CONST., INC.",G,G,2187169,1026829,2021-08-24
